"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf";
1;"H4";"MountingHole_2.7mm_Pad";1;"H2";;;
2;"H3";"MountingHole_2.7mm_Pad";1;"H1";;;
3;"H2";"MountingHole_2.7mm_Pad";1;"H4";;;
4;"H1";"MountingHole_2.7mm_Pad";1;"H3";;;
5;"J1";"PinHeader_1x04_P2.54mm_Horizontal";1;"Conn_01x04";;;
6;"R3,R2,R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";3;"R";;;
7;"D3,D2,D1";"LED_D3.0mm";3;"LED";;;
